Primary Sequence Name,Sequence Description,Accession Number,Affy Probe ID,Gene Symbol,Correlation Coefficient to Layer 2 High template
LOC694787,similar to abnormal GONad development family member (gon-1),XR_009914,MmugDNA.19950.1.S1_at,KIAA0960,0.924243779
GPR83,G protein-coupled receptor 83,XM_001088588,MmugDNA.33779.1.S1_at,GPR83,0.918955767
LOC697776,similar to Cerebellin-2 precursor (Cerebellin-like protein),XM_001086320,MmunewRS.850.1.S1_at,C1QL2,0.917920871
MmugDNA.23964.1.S1_at,gDNA.Hs.106217.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229159_at  REP_ORG=M. mulatta,gDNA.Hs.106217.0,MmugDNA.23964.1.S1_at,,0.905662115
NEUROD1,neurogenic differentiation 1,XM_001101116,MmugDNA.21940.1.S1_at,NEUROD1,0.898016837
NEUROD1,neurogenic differentiation 1,XM_001101116,MmuSTS.1949.1.S1_at,NEUROD1,0.892656373
DACT1,"dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)",XM_001092593,MmuSTS.2280.1.S1_at,DACT1,0.887691231
PCDH18,similar to protocadherin 18 precursor,XM_001086925,MmugDNA.4581.1.S1_at,PCDH18,0.878654311
LOC697915,similar to synaptotagmin-like 5,XR_010374,MmugDNA.42049.1.S1_at,,0.862799439
LOC711867,similar to FAT tumor suppressor homolog 4,XR_012510,MmugDNA.11027.1.S1_at,FAT4,0.860647245
SATB1,SATB homeobox 1,XM_001086749,MmugDNA.25262.1.S1_at,LOC221981,0.860305596
JAG1,jagged 1,XM_001116216,MmuSTS.736.1.S1_at,JAG1,0.859938824
MmugDNA.43592.1.S1_at,gDNA.Hs.100554.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237212_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.100554.0,MmugDNA.43592.1.S1_at,,0.857075844
MmugDNA.10940.1.S1_at,gDNA.Hs.209194.0.A1  FEA=U133PSR  GEN=SOX1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 237472_at SRY (sex determining region Y)-box 1  REP_ORG=M. mulatta,gDNA.Hs.209194.0,MmugDNA.10940.1.S1_at,SOX1,0.854538779
LOC713280,similar to meningioma  1,XR_012573,MmuSTS.3185.1.S1_at,MN1,0.852513283
RCN1,reticulocalbin 1,XM_001085402,MmugDNA.24411.1.S1_at,RCN1,0.850360211
SLC12A1,"solute carrier family 12 (sodium/potassium/chloride transporters), member 1",XM_001112838,MmugDNA.28461.1.S1_at,SLC12A1,0.84866197
TAC3,tachykinin 3,XM_001115535,MmugDNA.107.1.S1_at,TAC3,0.846701107
LOC695395,similar to hippocalcin-like 1,XM_001085564,MmugDNA.18055.1.S1_at,HPCAL1,0.844119386
