Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 6 High template"
TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",XM_001102405,MmuSTS.4594.1.S1_at,TLE4,0.86279372
MmugDNA.16804.1.S1_at,gDNA.g6912649  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206941_x_at  REP_ORG=M. mulatta,gDNA,MmugDNA.16804.1.S1_at,,0.843000625
ZFHX3,zinc finger homeobox 3,XM_001102516,MmugDNA.29303.1.S1_at,ZFHX3,0.841777195
NXPH3,neurexophilin 3,XM_001093691,MmuSTS.1609.1.S1_at,NXPH3,0.823124422
TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",XM_001102405,MmugDNA.29959.1.S1_at,TLE4,0.813207427
FILIP1L,filamin A interacting protein 1-like,XM_001090673,MmuSTS.835.1.S1_at,FILIP1L,0.802782985
LOC720062,similar to olfactomedin-like 2B,XM_001118163,MmugDNA.19540.1.S1_at,OLFML2B,0.798275777
ZFHX3,zinc finger homeobox 3,XM_001102516,MmuSTS.3813.1.S1_at,ZFHX3,0.7945532
MmugDNA.20034.1.S1_at,gDNA.Hs.12482.1.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226806_s_at Full length insert cDNA clone ZD69D05  REP_ORG=M. mulatta,gDNA.Hs.12482.1,MmugDNA.20034.1.S1_at,,0.794355469
NFIA,nuclear factor I/A,XM_001084007,MmugDNA.39511.1.S1_at,NFIA,0.793615766
MmugDNA.29246.1.S1_at,gDNA.Hs.311548.0.S1  FEA=U133PSR  GEN=CABP7  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243173_at calcium binding protein 7  REP_ORG=M. mulatta,gDNA.Hs.311548.0,MmugDNA.29246.1.S1_at,CABP7,0.785460521
LOC720393,"similar to protein tyrosine phosphatase, receptor type, U isoform 3 precursor",XM_001115805,MmunewRS.31.1.S1_at,PTPRU,0.784356454
CTGF,connective tissue growth factor,XM_001104316,MmugDNA.27267.1.S1_at,CTGF,0.778726531
NR4A2,"nuclear receptor subfamily 4, group A, member 2",XM_001086356,MmugDNA.20818.1.S1_s_at,NR4A2,0.775218059
ZFHX3,zinc finger homeobox 3,XM_001102516,MmugDNA.30533.1.S1_at,ZFHX3,0.769518632
LOC709167,similar to ADP-ribosylation factor-like 4D,XM_001097675,MmuSTS.2109.1.S1_at,ARF4L,0.754330412
NR4A2,"nuclear receptor subfamily 4, group A, member 2",XM_001086356,MmugDNA.3701.1.S1_at,NR4A2,0.752614107
LOC707236,"similar to Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)",XR_013420,MmugDNA.21083.1.S1_s_at,KRT17,0.752277291
LOC700396,similar to melanoma associated antigen (mutated) 1-like 1,XM_001092843,MmugDNA.28501.1.S1_at,MUM1L1,0.749607767
NFIA,nuclear factor I/A,XM_001084007,MmugDNA.39510.1.S1_at,NFIA,0.74301444
HS3ST4,heparan sulfate (glucosamine) 3-O-sulfotransferase 4,XM_001091682,MmuSTS.3056.1.S1_at,HS3ST4,0.742416787
KLHL5,kelch-like 5,XM_001090114,MmuSTS.2943.1.S1_at,KLHL5,0.739586652
ALK,gDNA.g6715586  FEA=U133PSR  GEN=ALK  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 208212_s_at anaplastic lymphoma kinase (Ki-1)  REP_ORG=M. mulatta,gDNA,MmugDNA.18707.1.S1_at,ALK,0.738613935
LOC712334,"similar to UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase 2",XM_001112579,MmuSTS.3817.1.S1_at,B3GALT2,0.731873659
MGST1,microsomal glutathione S-transferase 1,XM_001093321,MmuSTS.1504.1.S1_at,MGST1,0.731484966
NPFFR2,similar to Neuropeptide FF receptor 2 (Neuropeptide G-protein coupled receptor) (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77),XR_013063,MmuSTS.2486.1.S1_at,GPR74,0.727514159
NR4A2,"nuclear receptor subfamily 4, group A, member 2",XM_001086356,MmugDNA.23169.1.S1_at,NR4A2,0.727039379
MmugDNA.32195.1.S1_at,gDNA.g5031808  FEA=U133PSR  GEN=ISLR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 207191_s_at immunoglobulin superfamily containing leucine-rich repeat  REP_ORG=M. mulatta,gDNA,MmugDNA.32195.1.S1_at,ISLR,0.725739221
