"","ID","combined_p_value"
"1","GO:0006613",0
"2","GO:0006614",0
"3","GO:0000184",0
"4","GO:0019083",0
"5","GO:0022626",0
"6","GO:0019080",0
"7","GO:0045047",0
"8","GO:0072599",0
"9","GO:0070972",0
"10","GO:0006413",0
"11","GO:0022625",0
"12","GO:0022627",0
"13","GO:0003735",0
"14","GO:0006612",0
"15","GO:0005681",0
"16","GO:0044391",0
"17","GO:0042788",0
"18","GO:0002181",0
"19","GO:0015934",0
"20","GO:0015935",0
"21","GO:0003823",0
"22","GO:0050853",0
"23","GO:0035278",0
"24","GO:0006958",0
"25","GO:0002920",0
"26","GO:0030449",0
"27","GO:0006956",0
"28","GO:0002455",0
"29","GO:0006911",0
"30","GO:0016064",0
"31","GO:0002377",0
"32","GO:0010324",6.66133814775094e-16
"33","GO:0099024",3.33066907387547e-15
"34","GO:0038096",4.32986979603811e-15
"35","GO:0002431",5.77315972805081e-15
"36","GO:0005844",5.99520433297585e-15
"37","GO:0038094",6.32827124036339e-15
"38","GO:0005684",8.32667268468867e-15
"39","GO:0050871",2.59792187762287e-14
"40","GO:0071013",3.65263375101677e-14
"41","GO:0097525",8.94839757847876e-14
"42","GO:1903671",8.01603228239856e-12
"43","GO:0019843",9.09694541917361e-12
"44","GO:1903670",1.0989986698462e-11
"45","GO:0030532",1.39712685864879e-11
"46","GO:0120114",4.27790025625541e-11
"47","GO:0050864",1.17909015884266e-10
"48","GO:0042611",1.23532406526294e-10
"49","GO:0071011",1.81645587460366e-10
"50","GO:0042255",1.90007787281843e-10
"51","GO:0071005",3.12967984861245e-10
"52","GO:0002040",1.68220838370203e-08
"53","GO:0042274",3.92903000134837e-08
"54","GO:0060333",5.15127646094626e-08
"55","GO:0003727",6.84043105492194e-08
"56","GO:0030867",9.59551107460044e-08
"57","GO:0043021",1.40121220515432e-07
"58","GO:0090049",2.13806301885278e-07
"59","GO:0043487",3.2787152115521e-07
"60","GO:2001242",5.41200973924738e-07
"61","GO:0033617",1.98801525841397e-06
"62","GO:0000028",2.05227094707272e-06
"63","GO:0072562",2.11008710426785e-06
"64","GO:0005791",2.44695503714976e-06
"65","GO:0043488",2.6363587222189e-06
"66","GO:0042273",4.67326338626783e-06
"67","GO:1904705",5.18655378256572e-06
"68","GO:0016525",6.70112067047146e-06
"69","GO:1901343",6.74124091382122e-06
"70","GO:0097526",8.40040074212567e-06
"71","GO:2000181",9.08844057700975e-06
"72","GO:0030176",1.1366238989563e-05
"73","GO:0031123",1.17246241818636e-05
"74","GO:0042605",1.28160136055877e-05
"75","GO:0033119",1.29462221117871e-05
"76","GO:0101002",1.71124452338356e-05
"77","GO:0002042",1.93998625398484e-05
"78","GO:0034341",2.03626544081903e-05
"79","GO:0031227",4.35597788430719e-05
"80","GO:0000027",4.42976706515052e-05
"81","GO:0034663",4.77670269453112e-05
"82","GO:0046782",5.29248832706886e-05
"83","GO:0006283",5.56025834477225e-05
"84","GO:0008535",5.78677194355004e-05
"85","GO:0010939",6.45685499659487e-05
"86","GO:0006695",7.1144308814608e-05
"87","GO:0052372",7.45966075388349e-05
"88","GO:0016126",7.6525845991493e-05
"89","GO:0071346",7.81061607409983e-05
"90","GO:0070265",9.40866065332058e-05
"91","GO:0048662",9.4028111787714e-05
"92","GO:1904706",9.69048306302955e-05
"93","GO:0071007",0.000105627904929739
"94","GO:0042582",0.000110752704650774
"95","GO:0005732",0.000112126321101247
"96","GO:0006297",0.000112973368198044
"97","GO:0002475",0.000149773485511151
"98","GO:0000387",0.00015019300805541
"99","GO:0046596",0.000151120259470172
"100","GO:0001914",0.00019999867772158
