"","rank","Ontology_Term","ID","mean_AUC","AUC_Maynard","AUC_He","AUC_Allen","combined_p_value","direction","layer","cell_type"
"1",8,"cellular respiration","GO:0045333",0.618670717119427,0.693815009103528,0.613754386939652,0.5484427553151,0,"positive",4,"GABA"
"2",19,"cellular respiration","GO:0045333",0.604753405731142,0.653417878968147,0.5752298802678,0.585612457957479,8.88178419700125e-16,"positive",5,"GABA"
"3",8,"cellular respiration","GO:0045333",0.641247006179444,0.693815009103528,0.613754386939652,0.616171622495152,0,"positive",4,"GLUT"
"4",2,"cellular respiration","GO:0045333",0.611742386742371,0.653417878968147,0.5752298802678,0.606579400991166,0,"positive",5,"GLUT"
"5",2,"cotranslational protein targeting to membrane","GO:0006613",0.736314257410364,0.769120443920577,0.700265580763307,0.739556747547208,0,"positive",1,"GABA"
"6",12,"cotranslational protein targeting to membrane","GO:0006613",0.251427953656502,0.293802707027224,0.195739219945312,0.264741933996971,0,"negative",3,"GABA"
"7",2,"cotranslational protein targeting to membrane","GO:0006613",0.694410504582729,0.769120443920577,0.700265580763307,0.613845489064305,0,"positive",1,"GLUT"
"8",12,"cotranslational protein targeting to membrane","GO:0006613",0.220811269635125,0.293802707027224,0.195739219945312,0.17289188193284,0,"negative",3,"GLUT"
"9",2,"cotranslational protein targeting to membrane","GO:0006613",0.709407736592178,0.769120443920577,0.700265580763307,0.65883718509265,0,"positive",1,"NONN"
"10",10,"cotranslational protein targeting to membrane","GO:0006613",0.287402656343195,0.293802707027224,0.195739219945312,0.372666042057048,0,"negative",3,"NONN"
"11",13,"cotranslational protein targeting to membrane","GO:0006613",0.311893359738874,0.318241542675254,0.189956754321923,0.427481782219446,0,"negative",4,"NONN"
"12",13,"cytosolic large ribosomal subunit","GO:0022625",0.763185361648484,0.787491156618673,0.721526573318104,0.780538355008675,0,"positive",1,"GABA"
"13",16,"cytosolic large ribosomal subunit","GO:0022625",0.320687056247813,0.317580505499969,0.22399706699381,0.420483596249662,2.22044604925031e-16,"negative",5,"GABA"
"14",13,"cytosolic large ribosomal subunit","GO:0022625",0.716651823017735,0.787491156618673,0.721526573318104,0.640937739116427,0,"positive",1,"GLUT"
"15",13,"cytosolic large ribosomal subunit","GO:0022625",0.734693917479527,0.787491156618673,0.721526573318104,0.695064022501802,0,"positive",1,"NONN"
"16",18,"cytosolic large ribosomal subunit","GO:0022625",0.301124245983957,0.301661053338906,0.203253098692838,0.398458585920127,0,"negative",4,"NONN"
"17",16,"cytosolic large ribosomal subunit","GO:0022625",0.31509868542074,0.317580505499969,0.22399706699381,0.403718483768443,1.11022302462516e-16,"negative",5,"NONN"
"18",4,"cytosolic ribosome","GO:0022626",0.724402943169451,0.753773125608569,0.690785843955808,0.728649859943978,0,"positive",1,"GABA"
"19",4,"cytosolic ribosome","GO:0022626",0.690186469148668,0.753773125608569,0.690785843955808,0.626000437881626,0,"positive",1,"GLUT"
"20",4,"cytosolic ribosome","GO:0022626",0.700527180610237,0.753773125608569,0.690785843955808,0.657022572266335,0,"positive",1,"NONN"
"21",16,"cytosolic ribosome","GO:0022626",0.338732158065552,0.343440555299316,0.231847320536482,0.440908598360858,0,"negative",4,"NONN"
"22",10,"electron transport chain","GO:0022900",0.603898041061679,0.685897780920017,0.578439818844321,0.547356523420699,0,"positive",4,"GABA"
"23",10,"electron transport chain","GO:0022900",0.632401886491625,0.685897780920017,0.578439818844321,0.632868059710536,0,"positive",4,"GLUT"
"24",8,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.691077150510833,0.712126024264753,0.654763555953603,0.706341871314145,0,"positive",1,"GABA"
"25",8,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.649195791249715,0.712126024264753,0.654763555953603,0.580697793530791,0,"positive",1,"GLUT"
"26",8,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.674198771093512,0.712126024264753,0.654763555953603,0.655706733062179,0,"positive",1,"NONN"
"27",19,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.345648888855938,0.366903186352353,0.232045271713501,0.437998208501959,0,"negative",4,"NONN"
"28",9,"integral component of synaptic membrane","GO:0099699",0.607157748596907,0.673722163729911,0.59490541889019,0.55284566317062,2.66453525910038e-15,"positive",2,"GABA"
"29",13,"integral component of synaptic membrane","GO:0099699",0.629958475948563,0.673282512983028,0.647383292116795,0.569209622745867,0,"positive",3,"NONN"
"30",6,"mitochondrial respirasome","GO:0005746",0.668448059794345,0.789647921343525,0.629590671933924,0.586105586105586,0,"positive",4,"GABA"
"31",6,"mitochondrial respirasome","GO:0005746",0.717914751957417,0.789647921343525,0.629590671933924,0.734505662594802,0,"positive",4,"GLUT"
"32",7,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.691429989915402,0.719862150744831,0.659927378075714,0.69450044092566,0,"positive",1,"GABA"
"33",3,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.339728900306991,0.325560167000173,0.255794813833242,0.437831720087558,0,"negative",5,"GABA"
"34",7,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.671072329928118,0.719862150744831,0.659927378075714,0.633427460963809,0,"positive",1,"GLUT"
"35",7,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.670447264104469,0.719862150744831,0.659927378075714,0.631552263492863,0,"positive",1,"NONN"
"36",18,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.331990940365069,0.323761085995207,0.246817107075116,0.425394628024882,0,"negative",3,"NONN"
"37",4,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.336807838288904,0.325560167000173,0.255794813833242,0.429068534033296,0,"negative",5,"NONN"
"38",13,"postsynaptic specialization membrane","GO:0099634",0.647745627133537,0.697550842794714,0.666438694269712,0.579247344336187,0,"positive",3,"GLUT"
"39",1,"postsynaptic specialization membrane","GO:0099634",0.631057787168632,0.721289825092321,0.607582518194128,0.564301018219448,0,"positive",2,"NONN"
"40",5,"protein targeting to ER","GO:0045047",0.70770993148978,0.733043864791563,0.669798864125643,0.720287065552134,0,"positive",1,"GABA"
"41",5,"protein targeting to ER","GO:0045047",0.666827062550953,0.733043864791563,0.669798864125643,0.597638458735653,0,"positive",1,"GLUT"
"42",5,"protein targeting to ER","GO:0045047",0.686641659478389,0.733043864791563,0.669798864125643,0.657082249517959,0,"positive",1,"NONN"
