"","rank","Ontology_Term","ID","mean_AUC","AUC_Maynard","AUC_He","AUC_Allen","combined_p_value","direction","layer","cell_type"
"1",2,"cotranslational protein targeting to membrane","GO:0006613",0.694273750270805,0.769120443920577,0.700265580763307,0.613435226128532,0,"positive",1,"GABA"
"2",12,"cotranslational protein targeting to membrane","GO:0006613",0.240512818764703,0.293802707027224,0.195739219945312,0.231996529321574,0,"negative",3,"GABA"
"3",2,"cotranslational protein targeting to membrane","GO:0006613",0.689307498010994,0.769120443920577,0.700265580763307,0.598536469349098,0,"positive",1,"GLUT"
"4",12,"cotranslational protein targeting to membrane","GO:0006613",0.217831577947517,0.293802707027224,0.195739219945312,0.163952806870015,0,"negative",3,"GLUT"
"5",2,"cotranslational protein targeting to membrane","GO:0006613",0.708971342503268,0.769120443920577,0.700265580763307,0.657528002825921,0,"positive",1,"NONN"
"6",12,"cotranslational protein targeting to membrane","GO:0006613",0.28333304316574,0.293802707027224,0.195739219945312,0.360457202524683,0,"negative",3,"NONN"
"7",13,"cytosolic large ribosomal subunit","GO:0022625",0.729216202668619,0.787491156618673,0.721526573318104,0.67863087806908,0,"positive",1,"GABA"
"8",13,"cytosolic large ribosomal subunit","GO:0022625",0.713730485935665,0.787491156618673,0.721526573318104,0.632173727870217,0,"positive",1,"GLUT"
"9",13,"cytosolic large ribosomal subunit","GO:0022625",0.727041890702071,0.787491156618673,0.721526573318104,0.672107942169436,0,"positive",1,"NONN"
"10",14,"cytosolic large ribosomal subunit","GO:0022625",0.312173782064746,0.317580505499969,0.22399706699381,0.394943773700459,0,"negative",5,"NONN"
"11",4,"cytosolic ribosome","GO:0022626",0.696217862999215,0.753773125608569,0.690785843955808,0.644094619433269,0,"positive",1,"GABA"
"12",4,"cytosolic ribosome","GO:0022626",0.681499967708631,0.753773125608569,0.690785843955808,0.599940933561516,0,"positive",1,"GLUT"
"13",4,"cytosolic ribosome","GO:0022626",0.700514375875116,0.753773125608569,0.690785843955808,0.656984158060971,0,"positive",1,"NONN"
"14",10,"cytosolic ribosome","GO:0022626",0.338399332639099,0.344911084917747,0.239300813671741,0.430986099327808,0,"negative",5,"NONN"
"15",8,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.660913958483009,0.712126024264753,0.654763555953603,0.615852295230673,0,"positive",1,"GABA"
"16",8,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.646501206391393,0.712126024264753,0.654763555953603,0.572614038955822,0,"positive",1,"GLUT"
"17",8,"establishment of protein localization to endoplasmic reticulum","GO:0072599",0.671817793451107,0.712126024264753,0.654763555953603,0.648563800134965,0,"positive",1,"NONN"
"18",12,"immune receptor activity","GO:0140375",0.710391132070022,0.715972192845157,0.741969125839817,0.673232077525091,0,"positive",1,"GLUT"
"19",12,"immune receptor activity","GO:0140375",0.68421144796112,0.715972192845157,0.741969125839817,0.594693025198385,0,"positive",1,"NONN"
"20",6,"mitochondrial respirasome","GO:0005746",0.662062305350035,0.789647921343525,0.629590671933924,0.566948322772654,0,"positive",4,"GABA"
"21",6,"mitochondrial respirasome","GO:0005746",0.715135469856708,0.789647921343525,0.629590671933924,0.726167816292674,0,"positive",4,"GLUT"
"22",7,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.663100298820225,0.719862150744831,0.659927378075714,0.609511367640131,0,"positive",1,"GABA"
"23",7,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.665751491790701,0.719862150744831,0.659927378075714,0.617464946551559,0,"positive",1,"NONN"
"24",3,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184",0.324532065794561,0.325560167000173,0.255794813833242,0.392241216550268,0,"negative",5,"NONN"
"25",11,"positive regulation of angiogenesis","GO:0045766",0.669386045783462,0.682809304853397,0.718015889891513,0.607332942605475,0,"positive",1,"GLUT"
"26",8,"positive regulation of angiogenesis","GO:0045766",0.379467722793857,0.357357414597336,0.343984367040103,0.437061386744133,0,"negative",5,"GLUT"
