"","rank","Ontology_Term","ID","mean_AUC","AUC_Maynard","AUC_He","AUC_Allen","combined_p_value","direction","layer","cell_type"
"1",20,"Absent reflex","C0234146",0.671633678829931,0.638423045573199,0.703891384502052,0.672586606414541,0,"positive",1,"GLUT"
"2",16,"Absent reflex","C0234146",0.664125623958147,0.638423045573199,0.703891384502052,0.65006244179919,0,"positive",1,"NONN"
"3",20,"Absent reflex","C0234146",0.671017469657042,0.650956964950836,0.705328629851415,0.656766814168874,0,"positive",2,"NONN"
"4",5,"Acidosis, Lactic","C0001125",0.667027945982352,0.694750250990468,0.664750310655483,0.641583276301105,0,"positive",1,"GABA"
"5",6,"Acidosis, Lactic","C0001125",0.678132727066449,0.703975904915095,0.693136455420938,0.637285820863314,0,"positive",2,"GABA"
"6",6,"Acidosis, Lactic","C0001125",0.682241989914781,0.712849632420412,0.697442917054986,0.636433420268945,0,"positive",3,"GABA"
"7",5,"Acidosis, Lactic","C0001125",0.68241705211707,0.714717217406324,0.696254659832246,0.63627927911264,0,"positive",4,"GABA"
"8",5,"Acidosis, Lactic","C0001125",0.680318009586711,0.712806451264668,0.692233612923268,0.635913964572197,0,"positive",5,"GABA"
"9",5,"Acidosis, Lactic","C0001125",0.673832273662331,0.703706022691697,0.675683442062752,0.642107356232544,0,"positive",6,"GABA"
"10",5,"Acidosis, Lactic","C0001125",0.661567752422164,0.694750250990468,0.664750310655483,0.625202695620541,0,"positive",1,"GLUT"
"11",6,"Acidosis, Lactic","C0001125",0.672878055048001,0.703975904915095,0.693136455420938,0.621521804807971,0,"positive",2,"GLUT"
"12",6,"Acidosis, Lactic","C0001125",0.676682632210703,0.712849632420412,0.697442917054986,0.619755347156712,0,"positive",3,"GLUT"
"13",5,"Acidosis, Lactic","C0001125",0.682468432502505,0.714717217406324,0.696254659832246,0.636433420268945,0,"positive",4,"GLUT"
"14",5,"Acidosis, Lactic","C0001125",0.677625677389912,0.712806451264668,0.692233612923268,0.627836967981799,0,"positive",5,"GLUT"
"15",5,"Acidosis, Lactic","C0001125",0.667881397421238,0.703706022691697,0.675683442062752,0.624254727509264,0,"positive",6,"GLUT"
"16",5,"Acidosis, Lactic","C0001125",0.652882412068215,0.694750250990468,0.664750310655483,0.599146674558694,0,"positive",1,"NONN"
"17",6,"Acidosis, Lactic","C0001125",0.660096156563312,0.703975904915095,0.693136455420938,0.583176109353902,0,"positive",2,"NONN"
"18",6,"Acidosis, Lactic","C0001125",0.662253992372819,0.712849632420412,0.697442917054986,0.576469427643058,0,"positive",3,"NONN"
