,rank,Ontology_Term,ID,mean_AUC,AUC_Maynard,AUC_He,AUC_Allen,combined_p_value,direction,layer,cell_type
5,17,ATP synthesis coupled electron transport,GO:0042773,0.777193005,0.868573119,0.764818759,0.698187137,0,positive,1,NONN
11,19,cellular respiration,GO:0045333,0.68931062,0.757220404,0.710402489,0.600308966,0,positive,1,NONN
12,8,cotranslational protein targeting to membrane,GO:0006613,0.853302015,0.909721309,0.910627988,0.739556748,0,positive,1,GABA
14,8,cotranslational protein targeting to membrane,GO:0006613,0.811398262,0.909721309,0.910627988,0.613845489,0,positive,1,GLUT
17,8,cotranslational protein targeting to membrane,GO:0006613,0.826395494,0.909721309,0.910627988,0.658837185,0,positive,1,NONN
19,16,cytosolic large ribosomal subunit,GO:0022625,0.876344059,0.965973997,0.882519825,0.780538355,0,positive,1,GABA
21,16,cytosolic large ribosomal subunit,GO:0022625,0.829810521,0.965973997,0.882519825,0.640937739,0,positive,1,GLUT
24,16,cytosolic large ribosomal subunit,GO:0022625,0.847852615,0.965973997,0.882519825,0.695064023,0,positive,1,NONN
26,4,cytosolic ribosome,GO:0022626,0.836294087,0.930496404,0.849735998,0.72864986,0,positive,1,GABA
28,4,cytosolic ribosome,GO:0022626,0.802077613,0.930496404,0.849735998,0.626000438,0,positive,1,GLUT
31,4,cytosolic ribosome,GO:0022626,0.812418325,0.930496404,0.849735998,0.657022572,0,positive,1,NONN
33,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.831583422,0.893252315,0.89515608,0.706341871,0,positive,1,GABA
35,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.789702063,0.893252315,0.89515608,0.580697794,0,positive,1,GLUT
38,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.814705043,0.893252315,0.89515608,0.655706733,0,positive,1,NONN
44,13,inner mitochondrial membrane protein complex,GO:0098800,0.736867663,0.830173125,0.745573143,0.634856721,0,positive,1,NONN
45,12,large ribosomal subunit,GO:0015934,0.762612207,0.851097961,0.762913947,0.673824712,0,positive,1,GABA
47,12,large ribosomal subunit,GO:0015934,0.726748684,0.851097961,0.762913947,0.566234146,0,positive,1,GLUT
50,12,large ribosomal subunit,GO:0015934,0.73810714,0.851097961,0.762913947,0.600309512,0,positive,1,NONN
56,18,mitochondrial ATP synthesis coupled electron transport,GO:0042775,0.777581308,0.868759283,0.767500812,0.696483827,0,positive,1,NONN
58,9,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,0.818009185,0.876732297,0.882794816,0.694500441,0,positive,1,GABA
60,9,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,0.797651525,0.876732297,0.882794816,0.633427461,0,positive,1,GLUT
62,9,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,0.797026459,0.876732297,0.882794816,0.631552263,0,positive,1,NONN
69,14,oxidative phosphorylation,GO:0006119,0.740735045,0.820168695,0.731404684,0.670631757,0,positive,1,NONN
71,3,protein localization to endoplasmic reticulum,GO:0070972,0.81042283,0.8666371,0.868422464,0.696208925,0,positive,1,GABA
73,3,protein localization to endoplasmic reticulum,GO:0070972,0.76631729,0.8666371,0.868422464,0.563892305,0,positive,1,GLUT
76,3,protein localization to endoplasmic reticulum,GO:0070972,0.787545261,0.8666371,0.868422464,0.627576219,0,positive,1,NONN
78,7,protein targeting to ER,GO:0045047,0.838749314,0.898797938,0.897162939,0.720287066,0,positive,1,GABA
80,7,protein targeting to ER,GO:0045047,0.797866445,0.898797938,0.897162939,0.597638459,0,positive,1,GLUT
83,7,protein targeting to ER,GO:0045047,0.817681042,0.898797938,0.897162939,0.65708225,0,positive,1,NONN
90,20,respiratory electron transport chain,GO:0022904,0.746067411,0.828643681,0.740830938,0.668727612,0,positive,1,NONN
91,2,ribosomal subunit,GO:0044391,0.760295044,0.858212101,0.768015315,0.654657716,0,positive,1,GABA
93,2,ribosomal subunit,GO:0044391,0.729900137,0.858212101,0.768015315,0.563472995,0,positive,1,GLUT
96,2,ribosomal subunit,GO:0044391,0.744086268,0.858212101,0.768015315,0.606031386,0,positive,1,NONN
98,10,SRP-dependent cotranslational protein targeting to membrane,GO:0006614,0.85061513,0.908840291,0.910843441,0.732161659,0,positive,1,GABA
100,10,SRP-dependent cotranslational protein targeting to membrane,GO:0006614,0.81357635,0.908840291,0.910843441,0.621045318,0,positive,1,GLUT
103,10,SRP-dependent cotranslational protein targeting to membrane,GO:0006614,0.830014822,0.908840291,0.910843441,0.670360735,0,positive,1,NONN
105,1,structural constituent of ribosome,GO:0003735,0.7444874,0.889739944,0.699484976,0.644237281,0,positive,1,GABA
107,1,structural constituent of ribosome,GO:0003735,0.715336676,0.889739944,0.699484976,0.556785108,0,positive,1,GLUT
110,1,structural constituent of ribosome,GO:0003735,0.734880092,0.889739944,0.699484976,0.615415355,0,positive,1,NONN
112,5,translational initiation,GO:0006413,0.757468747,0.818358026,0.811913625,0.642134588,0,positive,1,GABA
114,5,translational initiation,GO:0006413,0.734492221,0.818358026,0.811913625,0.573205011,0,positive,1,GLUT
117,5,translational initiation,GO:0006413,0.744260972,0.818358026,0.811913625,0.602511264,0,positive,1,NONN
119,11,viral gene expression,GO:0019080,0.740237429,0.770394908,0.791400321,0.658917057,0,positive,1,GABA
121,11,viral gene expression,GO:0019080,0.722756131,0.770394908,0.791400321,0.606473164,0,positive,1,GLUT
124,11,viral gene expression,GO:0019080,0.723658848,0.770394908,0.791400321,0.609181315,0,positive,1,NONN
126,15,viral transcription,GO:0019083,0.73990481,0.766517866,0.789761112,0.663435451,0,positive,1,GABA
128,15,viral transcription,GO:0019083,0.724430402,0.766517866,0.789761112,0.617012229,0,positive,1,GLUT
130,15,viral transcription,GO:0019083,0.723688078,0.766517866,0.789761112,0.614785257,0,positive,1,NONN
13,8,cotranslational protein targeting to membrane,GO:0006613,0.825221459,0.906555919,0.905372736,0.663735722,0,positive,2,GABA
20,16,cytosolic large ribosomal subunit,GO:0022625,0.836902702,0.965813584,0.876598887,0.668295634,0,positive,2,GABA
27,4,cytosolic ribosome,GO:0022626,0.803581583,0.926482115,0.842918097,0.641344538,0,positive,2,GABA
34,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.807777504,0.892721822,0.891864707,0.638745982,0,positive,2,GABA
46,12,large ribosomal subunit,GO:0015934,0.729642989,0.850229676,0.779149294,0.559549997,0,positive,2,GABA
59,9,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,0.801233206,0.877383245,0.876187526,0.650128846,0,positive,2,GABA
72,3,protein localization to endoplasmic reticulum,GO:0070972,0.780906392,0.869200698,0.866588055,0.606930422,0,positive,2,GABA
79,7,protein targeting to ER,GO:0045047,0.814985576,0.896744169,0.893820943,0.654391616,0,positive,2,GABA
92,2,ribosomal subunit,GO:0044391,0.741440414,0.856172292,0.779770838,0.58837811,0,positive,2,GABA
99,10,SRP-dependent cotranslational protein targeting to membrane,GO:0006614,0.824883307,0.906166833,0.906350248,0.662132842,0,positive,2,GABA
106,1,structural constituent of ribosome,GO:0003735,0.737905685,0.886227117,0.717449939,0.610039998,0,positive,2,GABA
113,5,translational initiation,GO:0006413,0.742907425,0.816609327,0.807626507,0.604486442,0,positive,2,GABA
120,13,viral gene expression,GO:0019080,0.718371405,0.765346733,0.782576552,0.607190929,0,positive,2,GABA
