"","rank","Ontology_Term","ID","mean_AUC","AUC_Maynard","AUC_He","AUC_Allen","combined_p_value","direction","layer","cell_type"
"1",20,"Absent reflex","C0234146",0.671633678829931,0.638423045573199,0.703891384502052,0.672586606414541,0,"positive",1,"GLUT"
"2",16,"Absent reflex","C0234146",0.664125623958147,0.638423045573199,0.703891384502052,0.65006244179919,0,"positive",1,"NONN"
"3",5,"Acidosis, Lactic","C0001125",0.667815093487218,0.694750250990468,0.664750310655483,0.643944718815703,0,"positive",1,"GABA"
"4",6,"Acidosis, Lactic","C0001125",0.678897267201723,0.703975904915095,0.693136455420938,0.639579441269137,0,"positive",2,"GABA"
"5",6,"Acidosis, Lactic","C0001125",0.682080655504515,0.712849632420412,0.697442917054986,0.635949417038147,0,"positive",3,"GABA"
"6",5,"Acidosis, Lactic","C0001125",0.682823470965862,0.714717217406324,0.696254659832246,0.637498535659015,0,"positive",4,"GABA"
"7",5,"Acidosis, Lactic","C0001125",0.679839144394456,0.712806451264668,0.692233612923268,0.634477368995431,0,"positive",5,"GABA"
"8",5,"Acidosis, Lactic","C0001125",0.673832273662331,0.703706022691697,0.675683442062752,0.642107356232544,0,"positive",6,"GABA"
"9",5,"Acidosis, Lactic","C0001125",0.661567752422164,0.694750250990468,0.664750310655483,0.625202695620541,0,"positive",1,"GLUT"
"10",6,"Acidosis, Lactic","C0001125",0.674645026503114,0.703975904915095,0.693136455420938,0.62682271917331,0,"positive",2,"GLUT"
"11",6,"Acidosis, Lactic","C0001125",0.677482624811928,0.712849632420412,0.697442917054986,0.622155324960386,0,"positive",3,"GLUT"
"12",5,"Acidosis, Lactic","C0001125",0.681679743586076,0.714717217406324,0.696254659832246,0.634067353519659,0,"positive",4,"GLUT"
"13",5,"Acidosis, Lactic","C0001125",0.677086183342843,0.712806451264668,0.692233612923268,0.626218485840593,0,"positive",5,"GLUT"
"14",5,"Acidosis, Lactic","C0001125",0.667744725595981,0.703706022691697,0.675683442062752,0.623844712033492,0,"positive",6,"GLUT"
"15",5,"Acidosis, Lactic","C0001125",0.652882412068215,0.694750250990468,0.664750310655483,0.599146674558694,0,"positive",1,"NONN"
"16",6,"Acidosis, Lactic","C0001125",0.660981954408213,0.703975904915095,0.693136455420938,0.585833502888605,0,"positive",2,"NONN"
"17",6,"Acidosis, Lactic","C0001125",0.663508187581289,0.712849632420412,0.697442917054986,0.580232013268471,0,"positive",3,"NONN"
"18",5,"Acidosis, Lactic","C0001125",0.671159095864385,0.714717217406324,0.696254659832246,0.602505410354586,0,"positive",4,"NONN"
