,rank,Ontology_Term,ID,mean_AUC,AUC_Maynard,AUC_He,AUC_Allen,combined_p_value,direction,layer,cell_type
1,17,ATP synthesis coupled electron transport,GO:0042773,0.779176917,0.868573119,0.764818759,0.704138873,0,positive,1,GABA
2,17,ATP synthesis coupled electron transport,GO:0042773,0.732102779,0.868573119,0.764818759,0.562916458,0,positive,1,GLUT
5,17,ATP synthesis coupled electron transport,GO:0042773,0.783730751,0.868573119,0.764818759,0.717800375,0,positive,1,NONN
7,19,cellular respiration,GO:0045333,0.692502346,0.757220404,0.710402489,0.609884144,0,positive,1,GABA
10,19,cellular respiration,GO:0045333,0.694754291,0.757220404,0.710402489,0.61663998,0,positive,1,NONN
11,8,cotranslational protein targeting to membrane,GO:0006613,0.811261508,0.909721309,0.910627988,0.613435226,0,positive,1,GABA
13,8,cotranslational protein targeting to membrane,GO:0006613,0.806295255,0.909721309,0.910627988,0.598536469,0,positive,1,GLUT
16,8,cotranslational protein targeting to membrane,GO:0006613,0.8259591,0.909721309,0.910627988,0.657528003,0,positive,1,NONN
18,16,cytosolic large ribosomal subunit,GO:0022625,0.8423749,0.965973997,0.882519825,0.678630878,0,positive,1,GABA
21,16,cytosolic large ribosomal subunit,GO:0022625,0.826889183,0.965973997,0.882519825,0.632173728,0,positive,1,GLUT
24,16,cytosolic large ribosomal subunit,GO:0022625,0.840200588,0.965973997,0.882519825,0.672107942,0,positive,1,NONN
26,4,cytosolic ribosome,GO:0022626,0.808109007,0.930496404,0.849735998,0.644094619,0,positive,1,GABA
29,4,cytosolic ribosome,GO:0022626,0.793391112,0.930496404,0.849735998,0.599940934,0,positive,1,GLUT
32,4,cytosolic ribosome,GO:0022626,0.81240552,0.930496404,0.849735998,0.656984158,0,positive,1,NONN
34,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.80142023,0.893252315,0.89515608,0.615852295,0,positive,1,GABA
36,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.787007478,0.893252315,0.89515608,0.572614039,0,positive,1,GLUT
39,6,establishment of protein localization to endoplasmic reticulum,GO:0072599,0.812324065,0.893252315,0.89515608,0.6485638,0,positive,1,NONN
41,13,inner mitochondrial membrane protein complex,GO:0098800,0.75057263,0.830173125,0.745573143,0.675971621,0,positive,1,GABA
44,13,inner mitochondrial membrane protein complex,GO:0098800,0.743477668,0.830173125,0.745573143,0.654686735,0,positive,1,NONN
45,12,large ribosomal subunit,GO:0015934,0.758023915,0.851097961,0.762913947,0.660059838,0,positive,1,GABA
47,12,large ribosomal subunit,GO:0015934,0.723762394,0.851097961,0.762913947,0.557275276,0,positive,1,GLUT
50,12,large ribosomal subunit,GO:0015934,0.737478118,0.851097961,0.762913947,0.598422445,0,positive,1,NONN
52,18,mitochondrial ATP synthesis coupled electron transport,GO:0042775,0.780764886,0.868759283,0.767500812,0.706034562,0,positive,1,GABA
53,18,mitochondrial ATP synthesis coupled electron transport,GO:0042775,0.73301167,0.868759283,0.767500812,0.562774913,0,positive,1,GLUT
56,18,mitochondrial ATP synthesis coupled electron transport,GO:0042775,0.784258162,0.868759283,0.767500812,0.716514391,0,positive,1,NONN
58,9,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,0.789679493,0.876732297,0.882794816,0.609511368,0,positive,1,GABA
63,9,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,0.792330686,0.876732297,0.882794816,0.617464947,0,positive,1,NONN
65,14,oxidative phosphorylation,GO:0006119,0.743865916,0.820168695,0.731404684,0.68002437,0,positive,1,GABA
66,14,oxidative phosphorylation,GO:0006119,0.703203046,0.820168695,0.731404684,0.55803576,0,positive,1,GLUT
69,14,oxidative phosphorylation,GO:0006119,0.74609587,0.820168695,0.731404684,0.686714232,0,positive,1,NONN
71,3,protein localization to endoplasmic reticulum,GO:0070972,0.783007919,0.8666371,0.868422464,0.613964194,0,positive,1,GABA
73,3,protein localization to endoplasmic reticulum,GO:0070972,0.764614395,0.8666371,0.868422464,0.558783622,0,positive,1,GLUT
76,3,protein localization to endoplasmic reticulum,GO:0070972,0.788612492,0.8666371,0.868422464,0.630777911,0,positive,1,NONN
78,7,protein targeting to ER,GO:0045047,0.805214748,0.898797938,0.897162939,0.619683366,0,positive,1,GABA
80,7,protein targeting to ER,GO:0045047,0.792595133,0.898797938,0.897162939,0.581824521,0,positive,1,GLUT
83,7,protein targeting to ER,GO:0045047,0.815552075,0.898797938,0.897162939,0.650695347,0,positive,1,NONN
