gene_symbol,He_Layer_Markers,Zeng_Layer_Markers,Maynard_Layer_Markers
A2M,NA,NA,1
AATF,NA,NA,7
ABAT,NA,NA,NA
ABCD1,NA,NA,NA
ACE,NA,NA,NA
ACHE,4,NA,4
ACTB,NA,NA,NA
ACTN2,NA,NA,5
ADAM23,NA,NA,4
ADAMTS8,2,NA,2
ADCY1,NA,NA,6
ADCY2,NA,NA,NA
ADCYAP1,NA,NA,3
ADM,NA,NA,7
ADORA1,NA,NA,7
ADORA3,NA,NA,NA
ADRA1A,NA,NA,NA
ADRA1D,NA,NA,5
ADRA2A,NA,6,NA
ADRB2,NA,NA,NA
AFAP1,2,NA,2
AGAP1,6,NA,7
AGRN,NA,NA,7
AHI1,NA,NA,NA
AKR1C2,5,6,NA
AKR1C3,NA,6,7
AKT1,NA,NA,7
ALDH5A1,NA,NA,NA
ALDOC,NA,NA,4
AMPH,NA,NA,5
ANKHD1,NA,NA,NA
ANKRD34B,5,NA,5
ANXA1,NA,6,6
APBA1,NA,NA,NA
APBB2,6,NA,7
APLNR,NA,NA,7
APLP1,6,NA,7
APLP2,NA,NA,NA
APOC1,1,NA,1
APOL1,NA,NA,1
APOL2,NA,NA,4
APOL4,NA,NA,NA
APP,NA,NA,NA
ARC,NA,NA,NA
ARFGEF2,NA,NA,NA
ARHGEF10,6,NA,7
ARHGEF6,NA,NA,NA
ARHGEF9,NA,NA,NA
ARL4C,NA,NA,4
ARNTL2,NA,NA,NA
ASL,NA,NA,NA
ATF4,NA,NA,NA
ATF5,NA,NA,7
ATF7IP,NA,NA,7
ATP10A,NA,NA,7
ATP1A2,NA,NA,1
ATP1A3,NA,NA,4
ATP2A2,NA,NA,2
ATP2B4,NA,2,2
ATP2B4,NA,3,2
ATP2B4,NA,6,2
ATP6AP2,NA,NA,NA
ATP8B1,5,NA,NA
ATR,NA,NA,6
ATRX,NA,NA,2
AUTS2,NA,NA,NA
B3GALT2,6,5,6
B3GALT2,6,6,6
BACE2,NA,NA,1
BAD,NA,NA,NA
BAX,NA,NA,NA
BCAN,NA,NA,7
BCHE,6,NA,7
BCL2,NA,NA,1
BCL2L1,NA,NA,7
BCL6,NA,NA,NA
BCOR,6,NA,7
BDNF,NA,NA,2
BEND5,4,3,4
BEND5,4,5,4
BLMH,NA,NA,NA
BRCA1,6,NA,7
BRD7,6,NA,7
BSN,NA,NA,5
BTBD11,2,NA,NA
BTN2A1,NA,NA,NA
C11orf87,3,NA,3
C1QL2,2,2,2
C1QL2,2,3,2
CA2,6,NA,7
CACNA1B,NA,NA,NA
CACNA1C,NA,NA,NA
CACNA1D,NA,NA,NA
CACNA1E,NA,2,2
CACNA1E,NA,3,2
CACNA1E,NA,6,2
CACNA1F,NA,NA,NA
CACNA1G,NA,NA,2
CACNA1I,NA,NA,5
CACNA2D1,NA,NA,2
CACNA2D2,4,NA,NA
CACNA2D3,NA,NA,NA
CACNB1,NA,NA,NA
CACNB3,NA,NA,2
CACNB4,NA,NA,NA
