"","gene_symbol","L1","L2","L3","L4","L5","L6"
"1","3.8-1.2",71,6,24,0,67,0
"2","3.8-1.3",348,436,364,153,142,17
"3","3.8-1.4",140,28,191,1,232,46
"4","3.8-1.5",16,2,2,0,2,0
"5","5-HT3C2",430,310,1324,1113,484,915
"6","A1BG",13714,24905,30664,21961,30865,35893
"7","A1BG-AS1",1362,2405,3027,2813,3454,3739
"8","A1CF",1242,3942,12183,8750,12714,15876
"9","A2M",171129,276571,470270,301273,314386,336335
"10","A2M-AS1",5248,7420,9771,6122,11495,8430
"11","A2ML1",29055,58095,98377,59237,64979,60461
"12","A2MP1",1454,3655,6690,6112,7485,6435
"13","A3GALT2",1873,4776,7262,6875,5200,3950
"14","A4GALT",676,1169,1562,1311,1429,1569
"15","A4GNT",250,217,1212,766,2742,971
"16","AA06",57,122,261,29,300,224
"17","AAAS",77307,107308,190110,186516,191198,128976
"18","AACS",58013,153712,317181,222557,276953,275667
"19","AACSP1",1425,4517,3205,2576,5000,4116
"20","AADAC",0,32,43,309,240,40
"21","AADACL2",156,1809,8599,13872,4934,2302
"22","AADACL2-AS1",3368,4660,22956,33828,16551,6162
"23","AADACL3",573,407,768,1464,742,1024
"24","AADACL4",522,587,1099,607,1807,686
"25","AADACP1",0,0,10,311,190,4
"26","AADAT",54515,98054,209512,175238,187051,155159
"27","AAED1",5207,11503,14258,14066,14700,18837
"28","AAGAB",85313,197811,331897,249943,239390,273738
"29","AAK1",614863,1090229,2133981,1720631,1788046,1573880
"30","AAMDC",45048,74575,133665,87854,104783,105647
"31","AAMP",35266,64027,82490,74738,79401,63003
"32","AANAT",1396,2106,4139,4348,3459,3755
"33","AAR2",25280,41655,60691,51877,57966,43303
"34","AARD",7563,5576,8775,4235,6010,10670
"35","AARS",108960,161809,266954,248934,246909,208272
"36","AARS2",28367,40250,58492,34495,38040,40964
"37","AARSD1",4458,7597,9372,9336,10182,7134
"38","AASDH",180421,283105,405922,321176,332766,304939
"39","AASDHPPT",151596,224731,350877,353957,343175,287423
"40","AASS",45965,95147,91501,89923,92120,125274
"41","AATBC",1062,1661,6904,2440,1993,1629
"42","AATF",48981,107890,157172,125082,120371,121921
"43","AATK",29423,46598,84058,65967,75443,68298
"44","AATK-AS1",13195,33585,61258,36410,37641,40868
"45","ABAT",203322,270676,500077,349381,352859,298494
"46","ABCA1",67689,91547,116691,77013,86110,76405
"47","ABCA10",146717,372816,782716,616693,593441,451504
"48","ABCA11P",59316,139445,221738,154492,161718,154299
"49","ABCA12",8477,17147,38199,60232,40189,33428
"50","ABCA13",3647,7421,9028,6966,6464,4780
"51","ABCA17P",54674,88060,139588,104633,119521,113545
"52","ABCA2",44498,75325,137496,128152,136903,172499
"53","ABCA3",121778,193435,347884,259965,289305,255305
"54","ABCA4",5603,11096,32244,92984,40706,6643
"55","ABCA5",515245,982339,1584286,1375342,1325971,1059631
"56","ABCA6",82767,179980,427822,346119,348267,262993
"57","ABCA7",25905,43081,97892,66808,73442,66870
"58","ABCA8",30925,29654,134642,142168,128883,192015
"59","ABCA9",81806,205626,475460,330578,339742,277876
"60","ABCA9-AS1",61,88,821,479,105,89
"61","ABCB1",13511,74458,70710,21781,44312,68985
"62","ABCB10",71735,143576,223605,170227,174614,155854
"63","ABCB10P1",26,106,311,635,774,440
"64","ABCB10P3",2,24,30,45,99,14
"65","ABCB10P4",17,29,105,173,176,73
"66","ABCB11",1573,4702,3964,4345,7111,4672
"67","ABCB4",6096,26961,30193,11336,13485,11453
"68","ABCB5",23878,13614,18095,5994,6793,4861
"69","ABCB6",64156,109061,141371,109337,154456,146529
"70","ABCB7",122879,181892,337478,284077,283049,241934
"71","ABCB8",51654,71788,121577,92816,94452,90313
"72","ABCB9",55962,121784,202456,141693,156162,151958
"73","ABCC1",97204,103416,181154,114032,120749,116744
