"","gene_symbol","L1","L2","L3","L4","L5","L6","WM"
"1","A1BG",5.79922622474351,5.94319830514605,5.55729241322016,5.47191657230175,5.42465469222927,5.72748652272901,6.55918761366928
"2","A1BG-AS1",3.03107963992854,2.83045771226004,2.85825157444079,2.51972404522616,2.78202320944682,2.8508376177737,2.51486058254742
"3","A2M",7.86394674681561,7.1653702039691,7.19235556188399,7.10031112425,7.00817870351777,7.11378572021164,7.18967012941853
"4","A2M-AS1",0.578172067080224,1.32933541123723,0.86433157766546,1.01152775888701,0.269040339895942,0.25649245943238,0.949172248967474
"5","A2ML1",2.15782090659635,0.222173605042452,0.734251895076951,0.435089868286233,0.537708549814798,-0.806287393793966,0.857976174142675
"6","A4GALT",2.7095147670539,1.86189644849161,1.39873080760273,1.10356803661331,1.35706233234396,1.66289609537006,1.88940491864288
"7","AAAS",4.16779036172456,4.16962276371985,4.14608396153725,4.25916178679678,4.16814591389992,4.48998050538202,4.81694988926123
"8","AACS",5.61045303594343,6.03245564386843,6.12094121971285,6.05373866272706,6.12466317466427,6.06375011452531,5.20706768614972
"9","AADAC",-1.71227860752949,-0.723804936509733,-1.5350850133407,-1.78828844479111,-1.83632179567564,-1.45688643769117,-1.86262260658848
"10","AADAT",3.41930180084621,3.81447764146451,3.94904406129501,3.41260442864616,3.47677438187368,3.64469908028372,3.52490169881902
"11","AAGAB",5.23726573416193,5.5037496234721,5.56974196745573,5.68429565637884,5.54195642306998,5.45111408886083,4.96086410543956
"12","AAK1",6.58378031077095,7.11838006833298,7.19761017048925,7.33320183340385,7.27666921864755,7.02804546885014,6.29155901330692
"13","AAMDC",4.65812756775925,4.05743730093708,3.81388212905741,3.99648740274977,3.81057399486335,4.55512162380501,5.46058214228134
"14","AAMP",6.61907437006974,6.71201361365857,6.6589466784378,6.73341778342818,6.72587852435663,6.54789094217886,6.59139496197165
"15","AANAT",-0.153499365091868,0.0762737628969668,-0.293459449072393,-0.849088801207119,-0.621436653941868,-0.806287393793966,-0.0223908771511937
"16","AAR2",4.65812756775925,3.91447598739245,4.11505661236453,4.14466811294033,4.32728625336354,4.37922097125644,4.94433347266882
"17","AARD",1.89531874844385,2.06896065656531,1.87681761765958,1.68317298727803,1.92407148589198,2.14141776298521,2.06278011161115
"18","AARS1",7.29410146799784,7.4332084777065,7.59174885278438,7.65746169679032,7.66382176555086,7.58305781299743,7.34151835001374
"19","AARS2",2.89372141595752,3.17318633648987,2.82028236583433,2.41583817027475,2.95260734880282,2.95105130152325,2.39021140790062
"20","AARSD1",2.15782090659635,3.00190740516333,2.72074295665635,2.55275427987466,2.25748174547493,2.47342486321959,1.79422143184906
"21","AASDH",3.45880015799677,3.35819216515192,3.16638366597277,3.09148544894779,3.12566843932877,3.48001689855352,3.3008406037873
"22","AASDHPPT",6.65352557483237,7.24862170192452,7.18956594277002,7.16982380654827,7.14269225393376,7.0291922763106,6.41866371917108
"23","AASS",0.839879891268154,0.222173605042452,0.215688781778214,-0.849088801207119,-0.0613799277343081,0.776949263776079,2.10305337951417
"24","AATBC",-0.413893957513125,-1.89483897440163,-0.672106891901659,-1.24357349102002,-0.924963579584347,-0.359518506355419,-0.96714537932185
"25","AATF",4.74056359261922,4.45438443417599,4.5379190317505,4.48984987551968,4.55249874130086,4.65359116845629,5.09671061097518
"26","AATK",5.9208875289904,6.22652297673499,6.41594008248843,6.53695527270639,6.70044160207904,6.84869796229477,8.15457685174148
"27","ABAT",7.49744530939298,7.42003649741647,7.47898840190717,7.52433413887761,7.55638478949571,7.35420994501333,6.73286228816717
"28","ABCA1",3.47815107926468,3.06128865536418,2.88302034665764,2.94988477394036,2.96405362249289,3.11556645203148,3.51000153594235
"29","ABCA10",0.954846559999505,1.04549598716044,1.21584781865868,1.49206066916713,1.55169755389019,0.941915162386442,1.19255804478213
"30","ABCA12",0.0670045135365323,-0.0860583048642127,-0.672106891901659,-0.284976144467761,-0.260121594637392,-0.179169595665763,-0.96714537932185
"31","ABCA2",6.96774983956211,7.10668307770173,7.037217796296,7.15107297904861,7.08357665565084,7.53542694951326,9.19667331111434
"32","ABCA3",6.67464715151803,6.87533642853425,6.9453949327006,6.89829598895782,6.9337248816175,6.90850024166518,6.61769584693501
"33","ABCA4",0.258231560311689,-0.0860583048642127,0.254171300392069,0.435089868286233,0.865248534020698,-0.359518506355419,-1.34649390227449
"34","ABCA5",4.48720056312692,4.62808096925424,4.63224742070552,4.56462629139156,4.81834771204403,4.50324615749087,4.34075521541558
"35","ABCA6",0.954846559999505,0.222173605042452,0.398590706442143,-0.0685965883760524,0.193256081994691,-0.179169595665763,2.18037642995707
"36","ABCA7",3.24951557382785,3.47924806637188,3.48630077585538,3.74821454321413,3.66387384054275,3.75970667613609,3.63886730068194
"37","ABCA8",3.27186417273224,2.25000174385793,2.59145468646946,3.19971680046773,2.97540979637177,3.97495952252552,6.34501213581106
"38","ABCA9",1.83655809063501,2.49937913207781,2.54564901982485,2.97447120689865,2.41590571838727,1.92190650903419,1.6923117214759
"39","ABCB1",3.69212886034723,3.08055141076383,3.20618579358876,3.17871036224419,2.715857976274,2.67443772753586,2.68370720927009
"40","ABCB10",3.55305916775178,3.97748730683578,3.71733182279115,3.74821454321413,3.86653768091843,3.70334858520038,3.8189157649173
"41","ABCB4",-0.153499365091868,-1.39175139073083,-1.5350850133407,-0.849088801207119,-1.30984460539684,-1.45688643769117,-0.667062281577261
"42","ABCB6",1.25325744628461,1.12186028402285,1.15613485302095,1.19008687239996,1.48969160391508,1.01782452056061,0.857976174142675
"43","ABCB7",3.72489814478871,3.57743162827158,3.40739809527389,3.5821696776283,3.79142638922358,3.36845933036138,3.92382171215733
"44","ABCB8",5.25980342079191,5.38868757119769,5.11114153854524,5.07714158935867,5.27185539436848,5.31104465375834,5.19314306907876
"45","ABCB9",4.69993430248512,4.74134262081621,4.90438659417877,4.77519536279397,4.7171311633567,4.94848522224402,4.29802455524579
"46","ABCC1",3.33690494792835,3.32627165973487,3.27797841957698,3.31971083267863,3.35163663477846,3.08059450277493,3.47973144144858
"47","ABCC10",3.8637920576441,4.03786132198403,3.82989473695352,3.77645377223745,3.84812327945198,4.119793836862,3.73169846987892
"48","ABCC11",1.77530213123804,1.12186028402285,0.937097898956909,1.49206066916713,1.28587617768234,1.22417797225913,1.33463556276081
"49","ABCC12",3.27186417273224,3.47924806637188,3.6539825549374,3.22042175780385,4.20720058143276,3.02649378111157,2.21753742977052
"50","ABCC2",-1.71227860752949,-1.39175139073083,-1.82482953933447,-1.78828844479111,-1.83632179567564,-1.94068959304646,-1.86262260658848
"51","ABCC3",1.06132400690519,0.964862574609402,0.498145060933907,0.28591715477389,1.13201210847821,1.08993866350565,1.03494474840686
"52","ABCC4",3.05704890053241,1.94831978976142,0.960559983453104,1.42228398953359,0.537708549814798,1.56508155995849,2.06278011161115
