gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
A2M,2,V1,+++++,vascular endothelial cell,VEC
A2M,2,V2,+++++,vascular endothelial cell,VEC
A2M,2,Temporal,+++++,vascular endothelial cell,NA
AANAT,15,V1,++,NA,ubiquitous
AANAT,15,V2,++,NA,ubiquitous
AANAT,15,Temporal,++,NA,NA
AATF,26574,V1,++,NA,ubiquitous
AATF,26574,V2,++,NA,ubiquitous
AATF,26574,Temporal,++,NA,NA
ABAT,18,V1,+++++,interneuron,scattered+ubiquitous
ABAT,18,V2,+++++,interneuron,scattered+ubiquitous
ABAT,18,Temporal,+++++,interneuron,scattered+ubiquitous
ABAT,18,V1,+++++,interneuron,scattered+ubiquitous
ABAT,18,V2,+++++,interneuron,scattered+ubiquitous
ABAT,18,Temporal,+++++,interneuron,scattered+ubiquitous
ABAT,18,V1,+++++,others,scattered+ubiquitous
ABAT,18,V2,+++++,others,scattered+ubiquitous
ABAT,18,Temporal,+++++,others,scattered+ubiquitous
ABAT,18,V1,+++++,others,scattered+ubiquitous
ABAT,18,V2,+++++,others,scattered+ubiquitous
ABAT,18,Temporal,+++++,others,scattered+ubiquitous
ABCD1,215,V1,++,NA,scattered+ubiquitous
ABCD1,215,V2,++,NA,scattered+ubiquitous
ABCD1,215,Temporal,++,NA,scattered+ubiquitous
ACAN,176,V1,+,NA,sparse to none
ACAN,176,V2,+,NA,sparse to none
ACAN,176,Temporal,+,NA,sparse to none
ASIC2,40,V1,++,NA,scattered+ubiquitous
ASIC2,40,V2,++,NA,scattered+ubiquitous
ASIC2,40,Temporal,++,NA,scattered+ubiquitous
ACE,1636,V1,+,NA,sparse to none
ACE,1636,V2,+,NA,sparse to none
ACE,1636,Temporal,+,NA,sparse to none
ACHE,43,V1,++++,NA,"ubiquitous(3,4,5/6)"
ACHE,43,V2,++++,NA,"ubiquitous(3,5,6)"
ACHE,43,Temporal,++++,NA,"ubiquitous(3,5,6)"
ACTB,60,V1,+++++,NA,ubiquitous
ACTB,60,V2,+++++,NA,ubiquitous
ACTB,60,Temporal,+++++,NA,ubiquitous
ACTN2,88,V1,+++,NA,"layer 2/3,4C,5/6"
ACTN2,88,V2,+++,NA,"layer 2/3,5,6"
ACTN2,88,Temporal,+++,NA,NA
ADAM23,8745,V1,+++++,NA,"ubiquitous(2/3,6)"
ADAM23,8745,V2,+++++,NA,ubiquitous(3)
ADAM23,8745,Temporal,+++++,NA,NA
ADAMTS8,11095,V1,++,NA,scattered+ubiquitous
ADAMTS8,11095,V2,++,NA,scattered+ubiquitous
ADAMTS8,11095,Temporal,++,NA,scattered+ubiquitous
ADAMTSL5,339366,V1,+,NA,ubiquitous
ADAMTSL5,339366,V2,+,NA,ubiquitous
ADAMTSL5,339366,Temporal,+,NA,ubiquitous
ADCY1,107,V1,+++,NA,ubiquitous(6)
ADCY1,107,V2,+++,NA,ubiquitous
ADCY1,107,Temporal,+++,NA,NA
ADCY2,108,V1,+++,NA,ubiquitous(6)
ADCY2,108,V2,+++,NA,ubiquitous
ADCY2,108,Temporal,+++,NA,ubiquitous
ADCYAP1,116,V1,++,NA,"scattered(2/3,6?)"
ADCYAP1,116,V2,++,NA,"scattered(2/3,6?)"
ADCYAP1,116,Temporal,++,NA,"scattered(2/3,6?)"
ADM,133,V1,++++,interneuron,sparse
ADM,133,V2,++++,interneuron,sparse
ADM,133,Temporal,++++,interneuron,sparse
ADM,133,V1,++++,interneuron,sparse
ADM,133,V2,++++,interneuron,sparse
ADM,133,Temporal,++++,interneuron,sparse
ADM,133,V1,++++,vascular endothelial cell,sparse
ADM,133,V2,++++,vascular endothelial cell,sparse
ADM,133,Temporal,++++,vascular endothelial cell,sparse
ADM,133,V1,++++,vascular endothelial cell,sparse
ADM,133,V2,++++,vascular endothelial cell,sparse
ADM,133,Temporal,++++,vascular endothelial cell,sparse
ADORA1,134,V1,+++,NA,"layer 2/3,4C,5/6"
ADORA1,134,V2,+++,NA,ubiquitous
ADORA1,134,Temporal,+++,NA,NA
ADORA2A,135,V1,++,NA,ubiquitous
ADORA2A,135,V2,++,NA,ubiquitous
ADORA2A,135,Temporal,++,NA,ubiquitous
ADORA3,140,V1,-,NA,none
ADORA3,140,V2,-,NA,none
ADORA3,140,Temporal,-,NA,NA
ADRA1A,148,V1,+++++,NA,ubiquitous+oligodendrocyte
ADRA1A,148,V2,+++++,NA,ubiquitous+oligodendrocyte
ADRA1A,148,Temporal,+++++,NA,ubiquitous+oligodendrocyte
ADRA1D,146,V1,+,NA,ubiquitous
ADRA1D,146,V2,+,NA,ubiquitous
ADRA1D,146,Temporal,+,NA,ubiquitous
ADRA2A,150,V1,+++,layer 6,layer 6+
ADRA2A,150,V2,+++,layer 6,ubiquitous(6)
ADRA2A,150,Temporal,+++,layer 6,ubiquitous(6)
ADRA2B,151,V1,+,NA,ubiquitous
ADRA2B,151,V2,+,NA,ubiquitous
ADRA2B,151,Temporal,+,NA,ubiquitous
ADRB2,154,V1,+,NA,ubiquitous
ADRB2,154,V2,+,NA,ubiquitous
ADRB2,154,Temporal,+,NA,NA
GRK2,156,V1,+++,NA,scattered+ubiquitous
GRK2,156,V2,+++,NA,scattered+ubiquitous
GRK2,156,Temporal,+++,NA,NA
GRK3,157,V1,++++,NA,scattered+ubiquitous
GRK3,157,V2,++++,NA,scattered+ubiquitous
GRK3,157,Temporal,++++,NA,scattered+ubiquitous
AFAP1,60312,V1,+++,NA,scattered+ubiquitous
AFAP1,60312,V2,+++,NA,scattered+ubiquitous
AFAP1,60312,Temporal,+++,NA,scattered+ubiquitous
AGAP1,116987,V1,++++,NA,ubiquitous
AGAP1,116987,V2,++++,NA,ubiquitous
AGAP1,116987,Temporal,++++,NA,NA
AGRN,375790,V1,+++++,NA,scattered+ubiquitous
AGRN,375790,V2,+++++,NA,scattered+ubiquitous
AGRN,375790,Temporal,+++++,NA,scattered+ubiquitous
AGTR1,185,V1,-,NA,none
AGTR1,185,V2,-,NA,none
AGTR1,185,Temporal,-,NA,none
AGTR2,186,V1,-,NA,none
AGTR2,186,V2,-,NA,none
AGTR2,186,Temporal,-,NA,NA
AHI1,54806,V1,++++,NA,"ubiquitous(2/3,5/6)"
AHI1,54806,V2,++++,NA,ubiquitous
AHI1,54806,Temporal,++++,NA,NA
AKR1C2,1646,V1,++++,layer 6,layer 6
AKR1C2,1646,V2,++++,layer 6,layer 6
AKR1C2,1646,Temporal,++++,layer 6,NA
AKR1C3,8644,V1,++,layer 6,layer 6
AKR1C3,8644,V2,++,layer 6,layer 6
AKR1C3,8644,Temporal,++,layer 6,layer 6
AKT1,207,V1,++++,NA,ubiquitous
AKT1,207,V2,++++,NA,ubiquitous
AKT1,207,Temporal,++++,NA,NA
ALDH5A1,7915,V1,+++,NA,scattered+ubiquitous
ALDH5A1,7915,V2,+++,NA,scattered+ubiquitous
ALDH5A1,7915,Temporal,+++,NA,scattered+ubiquitous
ALDOC,230,V1,+++++,NA,scattered+ubiquitous
ALDOC,230,V2,+++++,NA,scattered+ubiquitous
ALDOC,230,Temporal,+++++,NA,scattered+ubiquitous
AMMECR1,9949,V1,+,NA,ubiquitous
AMMECR1,9949,V2,+,NA,ubiquitous
AMMECR1,9949,Temporal,+,NA,NA
AMPH,273,V1,++++,NA,ubiquitous
AMPH,273,V2,++++,NA,ubiquitous
AMPH,273,Temporal,++++,NA,ubiquitous
ANKHD1,54882,V1,+++,NA,ubiquitous
ANKHD1,54882,V2,+++,NA,ubiquitous
ANKHD1,54882,Temporal,+++,NA,NA
ANKRD34B,340120,V1,-,NA,none
ANKRD34B,340120,V2,-,NA,none
ANKRD34B,340120,Temporal,-,NA,none
ANXA1,301,V1,++++,layer 6,layer 6
