"","gene_symbol","L1","L2","L3","L4","L5","L6"
"1","3.8-1.2",0,1,0,0,60,0
"2","3.8-1.3",347,1,135,0,8,0
"3","3.8-1.4",140,28,191,1,0,0
"4","3.8-1.5",15,2,1,0,2,0
"5","5-HT3C2",242,136,825,49,250,365
"6","A1BG",10311,8307,4956,4646,5532,7629
"7","A1BG-AS1",614,498,260,509,851,523
"8","A1CF",398,1236,2980,1817,5165,3454
"9","A2M",129928,120734,137835,106525,97800,95497
"10","A2M-AS1",1551,4737,1742,1271,3916,1790
"11","A2ML1",21267,21985,21609,17808,18403,20775
"12","A2MP1",1118,834,1784,2575,833,1854
"13","A3GALT2",1089,1468,1228,2003,1067,1070
"14","A4GALT",557,252,562,335,285,444
"15","A4GNT",162,61,437,24,431,131
"16","AA06",52,46,40,2,79,3
"17","AAAS",59068,41693,39591,48312,50280,46299
"18","AACS",43902,44137,55611,49370,57136,66123
"19","AACSP1",1387,1090,135,627,1719,1503
"20","AADAC",0,1,1,90,0,4
"21","AADACL2",141,368,608,1515,744,365
"22","AADACL2-AS1",3193,3166,5540,4733,1640,1089
"23","AADACL3",449,199,260,150,144,464
"24","AADACL4",217,299,340,239,647,125
"25","AADACP1",0,0,0,1,1,4
"26","AADAT",37332,34578,48404,55801,56638,49344
"27","AAED1",3267,3665,2357,3291,2673,4446
"28","AAGAB",55194,66178,66152,61536,53951,71383
"29","AAK1",386582,404661,472145,534086,552150,518416
"30","AAMDC",31146,23573,29178,27643,36660,27239
"31","AAMP",23148,26751,18460,19774,20657,21862
"32","AANAT",1120,1154,473,1298,828,1701
"33","AAR2",17282,15343,16506,14470,14881,13018
"34","AARD",4390,2855,2280,1753,2392,4322
"35","AARS",62482,58379,66729,76946,69633,76986
"36","AARS2",17436,13232,16262,10402,10606,12921
"37","AARSD1",2558,3184,1697,2577,2758,2208
"38","AASDH",112038,122725,93671,104951,98234,103539
"39","AASDHPPT",87795,85161,75527,93727,93845,91374
"40","AASS",43618,56990,32451,46508,37417,61126
"41","AATBC",917,328,2142,690,485,574
"42","AATF",34537,45831,30841,39593,29015,33520
"43","AATK",18845,16427,16765,16859,20164,19846
"44","AATK-AS1",9765,11470,10559,7205,9041,12858
"45","ABAT",117157,123886,132351,139624,126653,133607
"46","ABCA1",49111,45297,29023,38474,36330,33953
"47","ABCA10",92543,124082,147935,154470,161170,146258
"48","ABCA11P",41753,43280,45314,38650,33663,39953
"49","ABCA12",6039,8096,11446,15495,12641,9628
"50","ABCA13",2705,4238,2338,3255,2067,2712
"51","ABCA17P",37449,30088,25739,26700,26684,28680
"52","ABCA2",34103,26717,39018,47403,43804,66350
"53","ABCA3",72962,75373,81139,80073,77009,82179
"54","ABCA4",3031,5951,5123,19530,5269,1410
"55","ABCA5",314566,347044,336269,380051,363300,359844
"56","ABCA6",51930,60344,93466,86326,94763,84358
"57","ABCA7",14038,14847,18586,16636,15692,16240
"58","ABCA8",30302,21995,76569,64189,57390,103039
